source,title,content,url,publishTime,Location
Global Times,How did COVID-19 patient leave Wuhan for Beijing?,"A confirmed COVID-19 patient returned from Wuhan on Saturday to Beijing, leading to questions over the management of Wuhan government...",https://www.globaltimes.cn/content/1180892.shtml,2 days ago,Beijing
TIME,Chinese President Xi Says He Was Leading COVID-19 Since Jan. 7,China released a speech showing President Xi Jinping was leading the national effort to contain the coronavirus almost two weeks before he...,https://time.com/5785115/xi-jingping-lead-covid-19/,2 weeks ago,Beijing
CNN International,Beijing orders mandatory coronavirus quarantine as US moves to evacuate passengers from cruise ship,"Hong Kong (CNN) Beijing has ordered a mandatory 14-day quarantine for travelers returning to the city, with novel coronavirus cases...",https://www.cnn.com/2020/02/15/asia/coronavirus-covid-19-update-intl-hnk/index.html,2 weeks ago,Beijing
Caixin Global,Cluster Cases at Beijing Hospitals Sparked Fear of Virus Spread,Cluster Cases at Beijing Hospitals Sparked Fear of Virus Spread - Large-scale quarantines under way involving patients and health care...,https://www.caixinglobal.com/2020-02-21/cluster-cases-at-beijing-hospitals-sparked-fear-of-virus-spread-101518348.html,1 week ago,Beijing
MarketWatch,China gets back to work — sort of — as number of new COVID-19 cases wanes,This is the immediate result of the abatement of COVID-19 in China and ... released Saturday morning Beijing time and is expected to show that...,https://www.marketwatch.com/story/china-gets-back-to-work-sort-of-as-number-of-new-covid-19-cases-wanes-2020-02-28,2 hours ago,Beijing
CNA,Beijing ramps up crowd control measures on COVID-19 fears,"BEIJING: Fearing a resurgence of crowds as COVID-19 cases drop, Beijing is not taking any chances, limiting numbers in parks, keeping...",https://www.channelnewsasia.com/news/asia/coronavirus-china-beijing-crowd-control-measures-limit-numbers-12480086,11 hours ago,Beijing
CNBC,"COVID-19: US, European companies in China still face challenges in getting back to work","However, in an effort to limit COVID-19′s spread, authorities have discouraged people from gathering. Cities like Beijing have also imposed...",https://www.cnbc.com/2020/02/28/coronavirus-challenges-for-us-european-firms-getting-back-to-work-in-china.html,5 hours ago,Beijing
The Star Online,Beijing strengthens travel restrictions to screen visitors for Covid-19,BEIJING (China Daily/ANN): The capital has upgraded management over travellers entering China through Beijing to further screen out novel...,https://www.thestar.com.my/news/regional/2020/02/28/beijing-strengthens-travel-restrictions-to-screen-visitors-for-covid-19,10 hours ago,Beijing
CNBC,"Coronavirus: New Zealand, Nigeria report first cases, China's death toll over 2,700","All times below are in Beijing time. ... Azerbaijan, Belarus, Lithuania, New Zealand and Nigeria all confirmed their first cases of COVID-19 on...",https://www.cnbc.com/2020/02/28/coronavirus-latest-updates-china-hubei-south-korea.html,17 hours ago,Beijing
Down To Earth Magazine,COVID-19: Beijing proposes to permanently ban harvesting of wild ...,"This had been a long-pending demand of researchers since they had linked coronaviruses, including the one that caused COVID-19, to...",https://www.downtoearth.org.in/news/wildlife-biodiversity/covid-19-beijing-proposes-to-permanently-ban-harvesting-of-wild-animals-69500,1 day ago,Beijing
Business Insider Nordic,Church linked to South Korea's COVID-19 crisis held meetings in Wuhan - Business Insider,"The doomsday church that is at the heart of South Korea's COVID-19 crisis was holding prayer sermons in Wuhan, China, where the illness...",https://www.businessinsider.com/church-cult-south-korea-coronavirus-outbreak-meetings-wuhan-december-2020-2,2 days ago,Wuhan
CGTN,Wuhan's war on COVID-19: How China mobilizes the whole country to contain the virus,Share. QR. Copied. Translating... Content is automatically generated by Microsoft Azure Translator Text API. CGTN is not responsible for any of...,https://news.cgtn.com/news/2020-02-27/Wuhan-s-war-on-COVID-19-How-China-mobilizes-to-contain-the-virus-OqUh2Doeti/index.html,1 day ago,Wuhan
The Guardian,Chinese film director Chang Kai and family die from coronavirus,"A Chinese film director, his sister, mother and father have all died from the coronavirus, the latest high-profile victims of the disease in Wuhan,...",https://www.theguardian.com/world/2020/feb/18/coronavirus-kills-chinese-film-director-family-wuhan-covid-19,1 week ago,Wuhan
NPR,"How Patients Die After Contracting COVID-19, The New Coronavirus Disease : Goats and Soda","More than 1,300 people, almost all in China, have now died from COVID-19 — the newly minted name for the coronavirus disease first...",https://www.npr.org/sections/goatsandsoda/2020/02/14/805289669/how-covid-19-kills-the-new-coronavirus-disease-can-take-a-deadly-turn,2 weeks ago,Wuhan
MarketWatch,Author argues the coronavirus behind the COVID-19 outbreak may have leaked from a Chinese virology lab,"The author of this New York Post op-ed, Steven W. Mosher, is the president of the Population Research Institute and the author of “Bully of Asia:...",https://www.marketwatch.com/story/dont-buy-chinas-story-the-coronavirus-may-have-leaked-from-a-lab-2020-02-22,5 days ago,Wuhan
CNBC,Cruise ships to house Wuhan medical workers; South Korea coronavirus cases spike,"China's National Health Commission said 2,345 people have died in the country from the new coronavirus, which has infected 76,288 people.",https://www.cnbc.com/2020/02/22/coronavirus-latest-updates-china-covid-19.html,6 days ago,Wuhan
BBC News,Coronavirus: Largest study suggests elderly and sick are most at risk,"Health officials in China have published the first details of more than 44,000 cases of Covid-19, in the biggest study since the outbreak began.",https://www.bbc.com/news/world-asia-china-51540981,1 week ago,Wuhan
