source,title,content,url,publishTime,Location
Jakarta Post,"Virus-free Indonesia more threatened by COVID-19 than Singapore, Malaysia: Survey",Indonesians are more anxious about COVID-19 — a disease brought on by the fast-spreading Wuhan coronavirus — than their regional...,https://www.thejakartapost.com/news/2020/02/18/virus-free-indonesia-more-threatened-by-covid-19-than-singapore-malaysia-survey.html,1 week ago,Wuhan
STAT,"Once widely criticized, the Wuhan quarantine bought the world time to prepare for Covid-19",Slowing growth of Covid-19 cases in China supports the emerging consensus that the Wuhan quarantine bought China and the world time to...,https://www.statnews.com/2020/02/21/coronavirus-wuhan-quarantine-bought-world-time-to-prepare/,1 week ago,Wuhan
CNN International,Hospital director dies in Wuhan as China designates dead nurses and doctors as 'martyrs',"Hong Kong (CNN) The death toll from the novel coronavirus has reached 1,873, as almost half of China's 1.3 billion-strong population remain...",https://www.cnn.com/2020/02/17/asia/coronavirus-covid-19-update-intl-hnk/index.html,1 week ago,Wuhan
USA TODAY,First coronavirus case of unknown origin confirmed in US. What does that mean?,"Discovery of a California coronavirus patient believed to be the first U.S. case from an unknown, community-spread source is an alarming twist.",https://www.usatoday.com/story/news/nation/2020/02/27/coronavirus-update-cdc-test-covid-community-spread-case/4889999002/,2 days ago,Us
MarketWatch,"Coronavirus update: 82,550 cases, 2,810 deaths, 1 possible case of spread in the U.S., Trump administration response under scrutiny",A woman in California who tested positive for COVID-19 had not traveled to an affected country or likely been in contact with another confirmed...,https://www.marketwatch.com/story/coronavirus-update-82446-cases-2808-deaths-1-possible-case-of-spread-in-the-us-trump-administration-response-under-scrutiny-2020-02-27,21 hours ago,Us
CNBC,"Coronavirus live updates: WHO says hospitals worldwide 'not ready,' Hong Kong dog tests positive","As of Friday, more than 83700 cases of coronavirus have been reported, resulting in at least 2859 deaths.",https://www.cnbc.com/2020/02/28/coronavirus-latest-updates-outbreak.html,4 hours ago,Us
CNN International,The CDC has changed its criteria for testing patients for coronavirus after the first case of unknown origin was confirmed,"For the first time, a US patient has contracted novel coronavirus with no clue as to where it came from. Now officials say more testing kits will be...",https://www.cnn.com/2020/02/27/health/us-cases-coronavirus-community-transmission/index.html,6 hours ago,Us
NPR,Preparing At Home For A Potential Coronavirus Outbreak In The US : Goats and Soda,The Centers for Disease Control and Prevention is telling Americans that they should be prepared for the possibility of a COVID-19 outbreak in...,https://www.npr.org/sections/goatsandsoda/2020/02/26/809650625/a-guide-how-to-prepare-your-home-for-coronavirus,1 day ago,Us
National Institutes of Health,NIH clinical trial of remdesivir to treat COVID-19 begins,Study enrolling hospitalized adults with COVID-19 in Nebraska.,https://www.nih.gov/news-events/news-releases/nih-clinical-trial-remdesivir-treat-covid-19-begins,3 days ago,Us
Washington Post,A faulty CDC coronavirus test delays monitoring of disease’s spread,Experts fear the small number of U.S. covid-19 cases reflects limited testing rather than a lack of infections.,https://www.washingtonpost.com/health/2020/02/25/cdc-coronavirus-test/,2 days ago,Us
ABC News,"Coronavirus has 'pandemic potential,' WHO warns as US ramps up testing","The latest patient being treated for the novel coronavirus in the U.S. is being investigated as possibly the first case of ""community spread"" on...",https://abcnews.go.com/International/latest-american-infected-coronavirus-1st-case-community-spread/story%3Fid%3D69251035,19 hours ago,Us
WIRED,Covid-19 Will Mark the End of Affluence Politics,"On Tuesday, President Donald Trump dismissed concerns about Covid-19. As he put it, the virus is ""under control"" in the US and the “whole...",https://www.wired.com/story/covid-19-will-mark-the-end-of-affluence-politics/,2 days ago,Us
Livescience.com,Are US communities and hospitals ready to take on COVID-19?,An outbreak of COVID-19 in the U.S. seems inevitable. How will local governments and health care facilities respond?,https://www.livescience.com/coronavirus-outbreak-us-what-to-expect.html,23 hours ago,Us
IFLScience,Iranian Health Minister Gives COVID-19 Press Conference While Visibly Coming Down With COVID-19,"A few days ago, Iranian deputy health minister Iraj Harirchi held a press conference about the new coronavirus infection, COVID-19. Mr Harirchi...",https://www.iflscience.com/health-and-medicine/iranian-health-minister-gives-covid19-press-conference-while-visibly-coming-down-with-covid19/,2 days ago,Iran
Aljazeera.com,Iran VP infected; Saudi halts pilgrimage: All the latest updates,"Coronavirus spreading to more countries globally, with the Netherlands, Estonia and Denmark confirming first cases.",https://www.aljazeera.com/news/2020/02/trump-ready-coronavirus-live-updates-200226235731205.html,21 hours ago,Iran
BBC News,"Coronavirus: Iran has no plans to quarantine cities, Rouhani says",The president says it will only quarantine individuals despite Covid-19's spread nationally.,https://www.bbc.com/news/world-middle-east-51651454,1 day ago,Iran
The Economist,"Covid-19 is now in 50 countries, and things will get worse","IN THE EARLY scenes of Michelangelo Antonioni's “The Eclipse”, eerily empty Italian streets provide a stark contrast to the frenzy of the...",https://www.economist.com/briefing/2020/02/29/covid-19-is-now-in-50-countries-and-things-will-get-worse,46 mins ago,Iran
Daily Sabah,Coronavirus kills Iran's ex-ambassador to Vatican,"Iran's former ambassador to the Vatican and prominent cleric Hadi Khosrowshahi has died of the coronavirus, local media reported Thursday.",https://www.dailysabah.com/world/mid-east/coronavirus-kills-irans-ex-ambassador-to-vatican,22 hours ago,Iran
Financial Times,Coronavirus: US travel groups forecast hit from outbreak – as it happened,"Asia stocks fall after Wall Street sell-off. Stocks in Asia-Pacific dropped on Wednesday morning, following on from a sharp sell-off on Wall Street...",https://www.ft.com/content/ac625338-6f2c-359e-933c-b0457b572fa1,1 day ago,Iran
Tasnim News Agency,"Leader Thanks Iran’s Health Officials, Medical Staff for Battle with COVID-19","In a meeting with the head of Iran's Academy of Medical Sciences on Thursday, Ayatollah Khamenei expressed gratitude to the health minister,...",https://www.tasnimnews.com/en/news/2020/02/27/2212220/leader-thanks-iran-s-health-officials-medical-staff-for-battle-with-covid-19,1 day ago,Iran
Yahoo News,Covid-19 infects top officials and hundreds more in Iran,"The strain of coronavirus known as Covid-19 has killed 34 and infected 388 people in Iran, the country's Health Ministry has confirmed.",https://news.yahoo.com/covid-19-infects-top-officials-133827361.html,4 hours ago,Iran
Futurism,"Iranian Health Minister Plays Down Virus Outbreak, Then Catches It",Iran health ministry confirmed today in an interview that the country's deputy health minister Iraj Harirchi has tested positive for COVID-19.,https://futurism.com/neoscope/iran-health-minister-covid-19-outbreak-catches-it,3 days ago,Iran
Asia Times,Mecca shuts gates as Covid-19 migrates from Iran,"The Kingdom of Saudi Arabia, which controls Islam's holiest sites, on Thursday announced it would “temporarily suspend” the entry of pilgrims...",https://asiatimes.com/2020/02/mecca-shuts-gates-as-covid-19-migrates-from-iran/,1 day ago,Iran
